ID,ORF
1009027_1,Rv3171c
1009029_1,Rv3173c
1009031_1,Rv3175
1009033_1,Rv3177
1009035_1,Rv3179
1009049_1,Rv3193c
1009051_1,Rv3195
1009053_1,Rv3197
1009055_1,Rv3199c
1009057_1,Rv3201c
1009059_1,Rv3203
1009073_1,Rv3217c
1009075_1,Rv3219
1009077_1,Rv3221c
1009079_1,Rv3223c
1009081_1,Rv3225c
1009083_1,Rv3227
1009097_1,Rv3241c
1009099_1,Rv3243c
1009101_1,Rv3245c
1009103_1,Rv3247c
1009105_1,Rv3249c
1009107_1,Rv3251c
1009409_1,Rv3553
1009411_1,Rv3555c
1009413_1,Rv3557c
1009415_1,Rv3559c
1009417_1,Rv3561
1009419_1,Rv3563
1009433_1,Rv3577
1009435_1,Rv3579c
1009437_1,Rv3581c
1009439_1,Rv3583c
1009441_1,Rv3585
1009443_1,Rv3587c
1009457_1,Rv3601c
1009459_1,Rv3603c
1009461_1,Rv3605c
1009463_1,Rv3607c
1009465_1,Rv3609c
1009467_1,Rv3611
1009481_1,Rv3625c
1009483_1,Rv3627c
1009485_1,Rv3629c
1009487_1,Rv3631
1009489_1,Rv3633
1009491_1,Rv3635
1009793_1,
1009795_1,
1009797_1,
1009799_1,
1009801_1,
1009803_1,
1009817_1,Rv1917c
1009819_1,
1009821_1,
1009823_1,
1009825_1,
1009827_1,
1009841_1,
1009843_1,
1009845_1,
1009847_1,
1009849_1,
1009851_1,
1009865_1,
1009867_1,
1009869_1,
1009871_1,
1009873_1,
1009875_1,
1005762_1,
1005764_1,
1005766_1,
1005768_1,
1005770_1,
1005772_1,
1005786_1,
1005788_1,
1005790_1,
1005792_1,
1005794_1,
1005796_1,
1005810_1,
1005812_1,
1005814_1,
1005816_1,
1005818_1,
1005820_1,
1005834_1,
1005836_1,
1005838_1,
1005840_1,
1005842_1,
1005844_1,
1005858_1,Rv0002
1005860_1,Rv0004
1005862_1,Rv0006
1005864_1,Rv0008c
1005866_1,Rv0010c
1005868_1,Rv0012
1005882_1,Rv0026
1005884_1,Rv0028
1005886_1,Rv0030
1005888_1,Rv0032
1005890_1,Rv0034
1005892_1,Rv0036c
1005906_1,Rv0050
1005908_1,Rv0052
1005910_1,Rv0054
1005912_1,Rv0056
1005914_1,Rv0058
1005916_1,Rv0060
1005930_1,Rv0074
1005932_1,Rv0076c
1005934_1,Rv0078
1005936_1,Rv0080
1005938_1,Rv0082
1005940_1,Rv0084
1006242_1,Rv0386
1006244_1,Rv0388c
1006246_1,Rv0390
1006248_1,Rv0392c
1006250_1,Rv0394c
1006252_1,Rv0396
1006266_1,Rv0410c
1006268_1,Rv0412c
1006270_1,Rv0414c
1006272_1,Rv0416
1006274_1,Rv0418
1006276_1,Rv0420c
1006290_1,Rv0434
1006292_1,Rv0436c
1006294_1,Rv0438c
1006296_1,Rv0440
1006298_1,Rv0442c
1006300_1,Rv0444c
1006314_1,Rv0458
1006316_1,Rv0460
1006318_1,Rv0462
1006320_1,Rv0464c
1006322_1,Rv0466
1006324_1,Rv0468
1006626_1,Rv0770
1006628_1,Rv0772
1006630_1,Rv0774c
1006632_1,Rv0776c
1006634_1,Rv0778
1006636_1,Rv0780
1006650_1,Rv0794c
1006652_1,Rv0796
1006654_1,Rv0798c
1006656_1,Rv0800
1006658_1,Rv0802c
1006660_1,Rv0804
1006674_1,Rv0818
1006676_1,Rv0820
1006678_1,Rv0822c
1006680_1,Rv0824c
1006682_1,Rv0826
1006684_1,Rv0828c
1006698_1,Rv0842
1006700_1,Rv0844c
1006702_1,Rv0846c
1006704_1,Rv0848
1006706_1,Rv0850
1006708_1,Rv0852
1007010_1,Rv1154c
1007012_1,Rv1156
1007014_1,Rv1158c
1007016_1,Rv1160
1007018_1,Rv1162
1007020_1,Rv1164
1007034_1,Rv1178
1007036_1,Rv1180
1007038_1,Rv1182
1007040_1,Rv1184c
1007042_1,Rv1186c
1007044_1,Rv1188
1007058_1,Rv1202
1007060_1,Rv1204c
1007062_1,Rv1206
1007064_1,Rv1208
1007066_1,Rv1210
1007068_1,Rv1212c
1007082_1,Rv1226c
1007084_1,Rv1228
1007086_1,Rv1230c
1007088_1,Rv1232c
1007090_1,Rv1234
1007092_1,Rv1236
1007394_1,Rv1538c
1007396_1,Rv1540
1007398_1,Rv1542c
1007400_1,Rv1544
1007402_1,Rv1546
1007404_1,Rv1548c
1007418_1,Rv1562c
1007420_1,Rv1564c
1007422_1,Rv1566c
1007424_1,Rv1568
1007426_1,Rv1570
1007428_1,Rv1572c
1007442_1,Rv1586c
1007444_1,Rv1588c
1007446_1,Rv1590
1007448_1,Rv1592c
1007450_1,Rv1594
1007452_1,Rv1596
1007466_1,Rv1610
1007468_1,Rv1612
1007470_1,Rv1614
1007472_1,Rv1616
1007474_1,Rv1618
1007476_1,Rv1620c
1007778_1,Rv1922
1007780_1,Rv1924c
1007782_1,Rv1926c
1007784_1,Rv1928c
1007786_1,Rv1930c
1007788_1,Rv1932
1007802_1,Rv1946c
1007804_1,Rv1948c
1007806_1,Rv1950c
1007808_1,Rv1952
1007810_1,Rv1954c
1007812_1,Rv1956
1007826_1,Rv1970
1007828_1,Rv1972
1007830_1,Rv1974
1007832_1,Rv1976c
1007834_1,Rv1978
1007836_1,Rv1980c
1007850_1,Rv1994c
1007852_1,Rv1996
1007854_1,Rv1998c
1007856_1,Rv2000
1007858_1,Rv2002
1007860_1,Rv2004c
1008162_1,Rv2306c
1008164_1,Rv2308
1008166_1,Rv2310
1008168_1,Rv2312
1008170_1,Rv2314c
1008172_1,Rv2316
1008186_1,Rv2330c
1008188_1,Rv2332
1008190_1,Rv2334
1008192_1,Rv2336
1008194_1,Rv2338c
1008196_1,Rv2340c
1008210_1,Rv2354
1008212_1,Rv2356c
1008214_1,Rv2358
1008216_1,Rv2360c
1008218_1,Rv2362c
1008220_1,Rv2364c
1008234_1,Rv2378c
1008236_1,Rv2380c
1008238_1,Rv2382c
1008240_1,Rv2384
1008242_1,Rv2386c
1008244_1,Rv2388c
1008546_1,Rv2690c
1008548_1,Rv2692
1008550_1,Rv2694c
1008552_1,Rv2696c
1008554_1,Rv2698
1008556_1,Rv2700
1008570_1,Rv2714
1008572_1,Rv2716
1008574_1,Rv2718c
1008576_1,Rv2720
1008578_1,Rv2722
1008580_1,Rv2724c
1008594_1,Rv2738c
1008596_1,Rv2740
1008598_1,Rv2742c
1008600_1,Rv2744c
1008602_1,Rv2746c
1008604_1,Rv2748c
1008618_1,Rv2762c
1008620_1,Rv2764c
1008622_1,Rv2766c
1008624_1,Rv2768c
1008626_1,Rv2770c
1008628_1,Rv2772c
1008930_1,Rv3074
1008932_1,Rv3076
1008934_1,Rv3078
1008936_1,Rv3080c
1008938_1,Rv3082c
1008940_1,Rv3084
1008954_1,Rv3098c
1008956_1,Rv3100c
1008958_1,Rv3102c
1008960_1,Rv3104c
1008962_1,Rv3106
1008964_1,Rv3108
1008978_1,Rv3122
1008980_1,Rv3124
1008982_1,Rv3126c
1008984_1,Rv3128c
1008986_1,Rv3130c
1008988_1,Rv3132c
1009002_1,Rv3146
1009004_1,Rv3148
1009006_1,Rv3150
1009008_1,Rv3152
1009010_1,Rv3154
1009012_1,Rv3156
1009314_1,Rv3458c
1009316_1,Rv3460c
1009318_1,Rv3462c
1009320_1,Rv3464
1009322_1,Rv3466
1009324_1,Rv3468c
1009338_1,Rv3482c
1009340_1,Rv3484
1009342_1,Rv3486
1009344_1,Rv3488
1009346_1,Rv3490
1009348_1,Rv3492c
1009362_1,Rv3506
1009364_1,Rv3508
1009366_1,Rv3510c
1009368_1,Rv3512
1009370_1,Rv3514
1009372_1,Rv3516
1009386_1,Rv3530c
1009388_1,Rv3532
1009390_1,Rv3534c
1009392_1,Rv3536c
1009394_1,Rv3538
1009396_1,Rv3540c
1009698_1,Rv3842c
1009700_1,Rv3844
1009702_1,Rv3846
1009704_1,Rv3848
1009706_1,Rv3850
1009708_1,Rv3852
1009722_1,Rv3866
1009724_1,Rv3868
1009726_1,Rv3870
1009728_1,Rv3872
1009730_1,Rv3874
1009732_1,Rv3876
1009746_1,Rv3890c
1009748_1,Rv3892c
1009750_1,Rv3894c
1009752_1,Rv3896c
1009754_1,Rv3898c
1009756_1,Rv3900c
1009770_1,Rv3914
1009772_1,Rv3916c
1009774_1,Rv3918c
1009776_1,Rv3920c
1009778_1,Rv3922c
1009780_1,Rv3924c
1005762_2,
1005764_2,
1005766_2,
1005768_2,
1005770_2,
1005772_2,
1005786_2,
1005788_2,
1005790_2,
1005792_2,
1005794_2,
1005796_2,
1005810_2,
1005812_2,
1005814_2,
1005816_2,
1005818_2,
1005820_2,
1005834_2,
1005836_2,
1005838_2,
1005840_2,
1005842_2,
1005844_2,
1005954_1,Rv0098
1005956_1,Rv0100
1005958_1,Rv0102
1005960_1,Rv0104
1005962_1,Rv0106
1005964_1,Rv0108c
1005978_1,Rv0122
1005980_1,Rv0124
1005982_1,Rv0126
1005984_1,Rv0128
1005986_1,Rv0130
1005988_1,Rv0132c
1006002_1,Rv0146
1006004_1,Rv0148
1006006_1,Rv0150c
1006008_1,Rv0152c
1006010_1,Rv0154c
1006012_1,Rv0156
1006026_1,Rv0170
1006028_1,Rv0172
1006030_1,Rv0174
1006032_1,Rv0176
1006034_1,Rv0178
1006036_1,Rv0180c
1006338_1,Rv0482
1006340_1,Rv0484c
1006342_1,Rv0486
1006344_1,Rv0488
1006346_1,Rv0490
1006348_1,Rv0492c
1006362_1,Rv0506
1006364_1,Rv0508
1006366_1,Rv0510
1006368_1,Rv0512
1006370_1,Rv0514
1006372_1,Rv0516c
1006386_1,Rv0530
1006388_1,Rv0532
1006390_1,Rv0534c
1006392_1,Rv0536
1006394_1,Rv0538
1006396_1,Rv0540
1006410_1,Rv0554
1006412_1,Rv0556
1006414_1,Rv0558
1006416_1,Rv0560c
1006418_1,Rv0562
1006420_1,Rv0564c
1006722_1,Rv0866
1006724_1,Rv0868c
1006726_1,Rv0870c
1006728_1,Rv0872c
1006730_1,Rv0874c
1006732_1,Rv0876c
1006746_1,Rv0890c
1006748_1,Rv0892
1006750_1,Rv0894
1006752_1,Rv0896
1006754_1,Rv0898c
1006756_1,Rv0900
1006770_1,Rv0914c
1006772_1,Rv0916c
1006774_1,Rv0918
1006776_1,Rv0920c
1006778_1,Rv0922
1006780_1,Rv0924c
1006794_1,Rv0938
1006796_1,Rv0940c
1006798_1,Rv0942
1006800_1,Rv0944
1006802_1,Rv0946c
1006804_1,Rv0948c
1007106_1,Rv1250
1007108_1,Rv1252c
1007110_1,Rv1254
1007112_1,Rv1256c
1007114_1,Rv1258c
1007116_1,Rv1260
1007130_1,Rv1274
1007132_1,Rv1276c
1007134_1,Rv1278
1007136_1,Rv1280c
1007138_1,Rv1282c
1007140_1,Rv1284
1007154_1,Rv1298
1007156_1,Rv1300
1007158_1,Rv1302
1007160_1,Rv1304
1007162_1,Rv1306
1007164_1,Rv1308
1007178_1,Rv1322
1007180_1,Rv1324
1007182_1,Rv1326c
1007184_1,Rv1328
1007186_1,Rv1330c
1007188_1,Rv1332
1007490_1,Rv1634
1007492_1,Rv1636
1007494_1,Rv1638
1007496_1,Rv1640c
1007498_1,Rv1642
1007500_1,Rv1644
1007514_1,Rv1658
1007516_1,Rv1660
1007518_1,Rv1662
1007520_1,Rv1664
1007522_1,Rv1666c
1007524_1,Rv1668c
1007538_1,Rv1682
1007540_1,Rv1684
1007542_1,Rv1686c
1007544_1,Rv1688
1007546_1,Rv1690
1007548_1,Rv1692
1007562_1,Rv1706c
1007564_1,Rv1708
1007566_1,Rv1710
1007568_1,Rv1712
1007570_1,Rv1714
1007572_1,Rv1716
1007874_1,Rv2018
1007876_1,Rv2020c
1007878_1,Rv2022c
1007880_1,Rv2024c
1007882_1,Rv2026c
1007884_1,Rv2028c
1007898_1,Rv2042c
1007900_1,Rv2044c
1007902_1,Rv2046
1007904_1,Rv2048c
1007906_1,Rv2050
1007908_1,Rv2052c
1007922_1,Rv2066
1007924_1,Rv2068c
1007926_1,Rv2070c
1007928_1,Rv2072c
1007930_1,Rv2074
1007932_1,Rv2076c
1007946_1,Rv2090
1007948_1,Rv2092c
1007950_1,Rv2094c
1007952_1,Rv2096c
1007954_1,Rv2098c
1007956_1,Rv2100
1008258_1,Rv2402
1008260_1,Rv2404c
1008262_1,Rv2406c
1008264_1,Rv2408
1008266_1,Rv2410c
1008268_1,Rv2412
1008282_1,Rv2426c
1008284_1,Rv2428
